first_name|gender|origin|definition
Egum|f|Eboo, Hebo|
Usaro|f|Eboo, Hebo|
Wadah|f|Eboo, Hebo|
Mocamba|f|Eboo, Hebo|
Izouk|f|Eboo, Hebo|
Whafa|f|Eboo, Hebo|
Ophonka|f|Eboo, Hebo|
Mouri|f|Eboo, Hebo|
Enumah|f|Eboo, Hebo|
Audah|f|Eboo, Hebo|
Calouas|f|Eboo, Hebo|
Alinda|f|Eboo, Hebo|
Ouwago|f|Eboo, Hebo|
Eboura|f|Eboo, Hebo|
Eguagh|f|Eboo, Hebo|
Ogho|f|Eboo, Hebo|
Wahimia|f|Eboo, Hebo|
Mairboo|f|Eboo, Hebo|
Bicca|f|Eboo, Hebo|
Adda|f|Eboo, Hebo|
Adda|f|Eboo, Hebo|
Ejako|f|Eboo, Hebo|
Canama|f|Eboo, Hebo|
Baocoo|f|Eboo, Hebo|
Ehirmica|f|Eboo, Hebo|
Magina|f|Eboo, Hebo|
Ahoua|f|Tappah|
Adda|f|Eboo, Hebo|
Acritha|f|Calabar|
Bombafo|f|Calabar|
Oganola|f|Calabar|
Dilechacho|f|Eboo, Hebo|
Mamma|f|Eboo, Hebo|
Kinakee|f|Eboo, Hebo|
Jinclado|f|Eboo, Hebo|
Wamboaka|f|Eboo, Hebo|
Acadenoma|f|Eboo, Hebo|
Adonimona|f|Eboo, Hebo|
Acamala|f|Eboo, Hebo|
Afun|f|Eboo, Hebo|
Acabatha|f|Eboo, Hebo|
Gakacha|f|Eboo, Hebo|
Acanda|f|Eboo, Hebo|
Auanacha|f|Eboo, Hebo|
Assaghas|f|Eboo, Hebo|
Oninah|f|Eboo, Hebo|
Ara|f|Eboo, Hebo|
Ahkeyah|f|Eboo, Hebo|
Ahdah|f|Eboo, Hebo|
Ohgolohoy|f|Eboo, Hebo|
Wohahna|f|Eboo, Hebo|
Giffrar|f|Eboo, Hebo|
Bendos|f|Eboo, Hebo|
Gugey|f|Crue|
Whogs|f|Eboo, Hebo|
Gugey|f|Crue|
Corner|f|Eboo, Hebo|
Ougo|f|Eboo, Hebo|
Adda|f|Eboo, Hebo|
Elletelham|f|Eboo, Hebo|
Edea|f|Calabar|
Edea|f|Calabar|
Oudaka|f|Eboo, Hebo|
Alamu|f|Eboo, Hebo|
Oleac|f|Eboo, Hebo|
Ocazima|f|Eboo, Hebo|
Wojo|f|Eboo, Hebo|
Ajogola|f|Eboo, Hebo|
Aduzee|f|Eboo, Hebo|
Aguaca|f|Eboo, Hebo|
Agamauga|f|Eboo, Hebo|
Ojah|f|Eboo, Hebo|
Wharfo|f|Eboo, Hebo|
Aguam|f|Eboo, Hebo|
Ella|f|Eboo, Hebo|
Oilla|f|Eboo, Hebo|
Adda|f|Eboo, Hebo|
Elima|f|Eboo, Hebo|
Elima|f|Eboo, Hebo|
Acima|f|Eboo, Hebo|
Auremiria|f|Eboo, Hebo|
Eka|f|Eboo, Hebo|
Ecala|f|Eboo, Hebo|
Ebinka|f|Eboo, Hebo|
Adjuma|f|Eboo, Hebo|
Agio|f|Eboo, Hebo|
Indoapa|f|Eboo, Hebo|
Bouagoa|f|Eboo, Hebo|
Oudouna|f|Eboo, Hebo|
Acanesia|f|Eboo, Hebo|
Islago|f|Eboo, Hebo|
Audouana|f|Eboo, Hebo|
Aloogo|f|Eboo, Hebo|
Ecca|f|Calabar|
Ellamanga|f|Calabar|
Wahkaye|f|Calabar|
Ahlaranuah|f|Calabar|
Luhuahay|f|Calabar|
Deahiah|f|Calabar|
Ohguah|f|Calabar|
Nahbaye|f|Calabar|
Daamba|f|Calabar|
Ahkanulah|f|Calabar|
Ahhame|f|Calabar|
Boy|f|Calabar|
Henia|f|Calabar|
Mang|f|Calabar|
Comba|f|Calabar|
Damboo|f|Calabar|
Deba|f|Calabar|
Mamong|f|Calabar|
Oba|f|Calabar|
Efong|f|Calabar|
Arnataug|m|Eboo, Hebo|
Anna|m|Eboo, Hebo|
Oitah|m|Eboo, Hebo|
Nihnah|m|Eboo, Hebo|
Hindoh|m|Eboo, Hebo|
Ohlassee|m|Eboo, Hebo|
Muniquah|m|Eboo, Hebo|
Hannoo|m|Eboo, Hebo|
Oucan|m|Eboo, Hebo|
Oudah|m|Eboo, Hebo|
Oomogo|m|Eboo, Hebo|
Imbaucoo|m|Eboo, Hebo|
Acquan|m|Eboo, Hebo|
Halem|m|Eboo, Hebo|
Hurrah|m|Eboo, Hebo|
Houway|m|Eboo, Hebo|
Elawhow|m|Eboo, Hebo|
Hanyah|m|Eboo, Hebo|
Heybah|m|Eboo, Hebo|
Hebake|m|Eboo, Hebo|
Ganjan|m|Eboo, Hebo|
Abahma|m|Calabar|
Jeydoo|m|Calabar|
Abbah|m|Calabar|
Ahsam|m|Calabar|
