first_name|gender|origin
Ingegärd|f|sweden
Ingela|f|sweden
Inger|f|sweden
Ing-Mari|f|sweden
Ing-Marie|f|sweden
Ingrid|f|sweden
Ingvor|f|sweden
Irem|f|sweden
Irene|f|sweden
Iréne|f|sweden
Iris|f|sweden
Irma|f|sweden
Isa|f|sweden
Isabel|f|sweden
Isabell|f|sweden
Isabella|f|sweden
Isabelle|f|sweden
Isadora |f|sweden
Isis |f|sweden
Isolde|f|sweden
Isra|f|sweden
Iza|f|sweden
Izabel |f|sweden
Izabell|f|sweden
Izabella|f|sweden
Izabelle|f|sweden
Jackie |f|sweden
Jacqueline|f|sweden
Jana |f|sweden
Jane|f|sweden
Janet|f|sweden
Janina|f|sweden
Jasmin|f|sweden
Jasmina|f|sweden
Jasmine|f|sweden
Jeanette|f|sweden
Jenna|f|sweden
Jennie|f|sweden
Jennifer|f|sweden
Jenny|f|sweden
Jessica|f|sweden
Jessie|f|sweden
Jessika|f|sweden
Jill|f|sweden
Joanna|f|sweden
Johanna|f|sweden
Jolene |f|sweden
Jolie |f|sweden
Jolin |f|sweden
Jolina|f|sweden
Joline|f|sweden
Joni |f|sweden
Jonna|f|sweden
Josefin|f|sweden
Josefina|f|sweden
Josefine|f|sweden
Josephine|f|sweden
Joy |f|sweden
Judit|f|sweden
Judit |f|sweden
Judith|f|sweden
Juli|f|sweden
Julia|f|sweden
Juliana|f|sweden
Julie|f|sweden
Juliette|f|sweden
Juni|f|sweden
Junia |f|sweden
Junie |f|sweden
Juno |f|sweden
Justina|f|sweden
Kaarina|f|sweden
Kajsa|f|sweden
Karin|f|sweden
Karina|f|sweden
Karla|f|sweden
Karola|f|sweden
Karolin|f|sweden
Karolina|f|sweden
Katarina|f|sweden
Katharina|f|sweden
Katja|f|sweden
Katrin|f|sweden
Katrina|f|sweden
Kayla |f|sweden
Kellie |f|sweden
Kelly|f|sweden
Kendra |f|sweden
Kersti|f|sweden
Kerstin|f|sweden
Keyla |f|sweden
Khadija|f|sweden
Kiara |f|sweden
Kim|f|sweden
Kimberly|f|sweden
Kira |f|sweden
Kitty |f|sweden
Klara|f|sweden
Konstantia|f|sweden
Kornelia|f|sweden
Kristin|f|sweden
Kristina|f|sweden
Kristine|f|sweden
Laila|f|sweden
Lamar |f|sweden
Lamis|f|sweden
Lana|f|sweden
Lara|f|sweden
Laura|f|sweden
Lava |f|sweden
Lavin |f|sweden
Layan|f|sweden
Layla |f|sweden
Lea|f|sweden
Leah|f|sweden
Lee |f|sweden
Leia|f|sweden
Leiah |f|sweden
Leija |f|sweden
Leila|f|sweden
Leja |f|sweden
Lejla|f|sweden
Lena|f|sweden
Leona|f|sweden
Leonie |f|sweden
Leonora|f|sweden
Leontina|f|sweden
Lexie |f|sweden
Leya |f|sweden
Leyla |f|sweden
Li|f|sweden
Lia|f|sweden
Liana|f|sweden
Liisa|f|sweden
Lilian|f|sweden
Lilith |f|sweden
Lilja |f|sweden
Lill|f|sweden
Lillemor|f|sweden
Lillian|f|sweden
Lillian |f|sweden
Lillie |f|sweden
Lilly|f|sweden
Lilo |f|sweden
Lily |f|sweden
Lin|f|sweden
Lina|f|sweden
Linda|f|sweden
Line|f|sweden
Linn|f|sweden
Linnea|f|sweden
Linnéa|f|sweden
Lisa|f|sweden
Lisbet|f|sweden
Lisbeth|f|sweden
Liselott|f|sweden
Lise-Lott|f|sweden
Liselotte|f|sweden
Lise-Lotte|f|sweden
Lisen|f|sweden
Liv|f|sweden
Liva |f|sweden
Livia|f|sweden
Liza|f|sweden
Lizette|f|sweden
Lizzie|f|sweden
Lo |f|sweden
Lola|f|sweden
Lola |f|sweden
Lorena|f|sweden
Lorin|f|sweden
Lotta|f|sweden
Lou |f|sweden
Louisa|f|sweden
Louise|f|sweden
Lova|f|sweden
Lowa|f|sweden
Lovelia |f|sweden
Lovina |f|sweden
Lovis|f|sweden
Lovisa|f|sweden
Lucia|f|sweden
Lucy |f|sweden
Luna|f|sweden
Lycka |f|sweden
Lycke |f|sweden
Lydia|f|sweden
Lykke |f|sweden
M|f|sweden
Madeleine|f|sweden
Madelen|f|sweden
Madelene|f|sweden
Madicken|f|sweden
Magda|f|sweden
Magdalena|f|sweden
Maggie |f|sweden
Magnhild|f|sweden
Maia|f|sweden
Maida|f|sweden
Maija|f|sweden
Maj|f|sweden
Maj |f|sweden
Maja|f|sweden
Majbritt|f|sweden
Maj-Britt|f|sweden
Majken|f|sweden
Majlis|f|sweden
Maj-Lis|f|sweden
Majvor|f|sweden
Malak|f|sweden
Malin|f|sweden
Malou|f|sweden
Malva|f|sweden
Malvina|f|sweden
Manar|f|sweden
Manda|f|sweden
Maram|f|sweden
Marg.|f|sweden
Marg:a|f|sweden
Margaret|f|sweden
Margareta|f|sweden
Margareth|f|sweden
Margaretha|f|sweden
Margit|f|sweden
Margita|f|sweden
Margot|f|sweden
Margret|f|sweden
Margreta|f|sweden
Mari|f|sweden
Maria|f|sweden
Mariam|f|sweden
Mariana|f|sweden
Mariann|f|sweden
Mari-Ann|f|sweden
Marianne|f|sweden
Marie|f|sweden
Marielle|f|sweden
Marie-Louise|f|sweden
Mariette|f|sweden
Marika|f|sweden
Marina|f|sweden
Marion|f|sweden
Marit|f|sweden
Marita|f|sweden
Marja|f|sweden
Marjatta|f|sweden
Marlene|f|sweden
Marta|f|sweden
Martha|f|sweden
Martina|f|sweden
Marwa|f|sweden
Mary|f|sweden
Maryam|f|sweden
Maryama|f|sweden
Maryan |f|sweden
Mathilda|f|sweden
Mathilde|f|sweden
Matilda|f|sweden
Matilde |f|sweden
Maud|f|sweden
May|f|sweden
Maya|f|sweden
Medina|f|sweden
Meia |f|sweden
Meija |f|sweden
Meja|f|sweden
Melanie|f|sweden
Melek|f|sweden
Melina|f|sweden
Melinda|f|sweden
Melisa|f|sweden
Melissa|f|sweden
Melody|f|sweden
Merve|f|sweden
Meya |f|sweden
Mia|f|sweden
Micaela|f|sweden
Michaela|f|sweden
Michelle|f|sweden
Mika|f|sweden
Mikaela|f|sweden
Mila |f|sweden
Mildred|f|sweden
Milea |f|sweden
Milena |f|sweden
Miley |f|sweden
Milia |f|sweden
Milla|f|sweden
Millie|f|sweden
Milly |f|sweden
Milou |f|sweden
Mimmi|f|sweden
Mina|f|sweden
Minea |f|sweden
Minella |f|sweden
Minelle|f|sweden
Minja |f|sweden
Minna|f|sweden
Minnah |f|sweden
Minou |f|sweden
Mira|f|sweden
Miranda|f|sweden
Mirella|f|sweden
Miriam|f|sweden
Mirjam|f|sweden
Mirna|f|sweden
Moa|f|sweden
Mollie|f|sweden
Molly|f|sweden
Mona|f|sweden
Monica|f|sweden
Monika|f|sweden
My|f|sweden
Myra |f|sweden
Märit|f|sweden
Märta|f|sweden
Märtha|f|sweden
Nada|f|sweden
Nadia|f|sweden
Nadin|f|sweden
Nadine|f|sweden
Nadja|f|sweden
Naemi|f|sweden
Naemi |f|sweden
Naima|f|sweden
Najma|f|sweden
Nancy|f|sweden
Nanna|f|sweden
Nanny|f|sweden
Naomi|f|sweden
Narin|f|sweden
Natali|f|sweden
Natalia|f|sweden
Natalie|f|sweden
Natasha|f|sweden
Nathalie|f|sweden
Nawal |f|sweden
Nea|f|sweden
Neah |f|sweden
Nejla|f|sweden
Nelia |f|sweden
Nell|f|sweden
Nella|f|sweden
Nelli |f|sweden
Nellie|f|sweden
Nelly|f|sweden
Nemi |f|sweden
Nicole|f|sweden
Nicolina|f|sweden
Nike|f|sweden
Niki|f|sweden
Nikita|f|sweden
Nikki|f|sweden
Nikolina|f|sweden
Nilla |f|sweden
Nina|f|sweden
Ninja |f|sweden
Ninni|f|sweden
Nisa |f|sweden
Noa |f|sweden
Noelia |f|sweden
Noelle|f|sweden
Nomi |f|sweden
Noomi|f|sweden
Noor|f|sweden
Nor|f|sweden
Nora|f|sweden
Norah|f|sweden
Norea|f|sweden
Nour|f|sweden
Nova|f|sweden
Nowa |f|sweden
Novalee|f|sweden
Novali |f|sweden
Nova-Li |f|sweden
Novalie |f|sweden
Novelia |f|sweden
Ofelia|f|sweden
Olga|f|sweden
Olivia|f|sweden
Oliwia|f|sweden
Ophelia |f|sweden
Othilia|f|sweden
Otilia|f|sweden
Ottilia|f|sweden
Pamela|f|sweden
Patricia|f|sweden
Paula|f|sweden
Paulina|f|sweden
Pauline|f|sweden
Penny |f|sweden
Perla |f|sweden
Pernilla|f|sweden
Petra|f|sweden
Petronella|f|sweden
Philippa|f|sweden
Pia|f|sweden
Pixie |f|sweden
Polly |f|sweden
Ragna|f|sweden
Ragnhild|f|sweden
Rahaf|f|sweden
Rahma |f|sweden
Rakel|f|sweden
Rama|f|sweden
Rania|f|sweden
Rawan |f|sweden
Rayaan|f|sweden
Rayan|f|sweden
Rebecca|f|sweden
Rebecka|f|sweden
Regina|f|sweden
Renée|f|sweden
Rigmor|f|sweden
Rim|f|sweden
Rio |f|sweden
Rita|f|sweden
Rojin|f|sweden
Ronja|f|sweden
Ronya |f|sweden
Rosa|f|sweden
Rosanna|f|sweden
Rose|f|sweden
Rose-Marie|f|sweden
Rosita|f|sweden
Ros-Mari|f|sweden
Ros-Marie|f|sweden
Roxanna |f|sweden
Runa|f|sweden
Rut|f|sweden
Ruth|f|sweden
Sabina|f|sweden
Sabirin |f|sweden
Sabrin |f|sweden
Sabrina|f|sweden
Safa|f|sweden
Safia |f|sweden
Saga|f|sweden
Sally|f|sweden
Salma|f|sweden
Sama |f|sweden
Samantha|f|sweden
Samira|f|sweden
Sana|f|sweden
Sandra|f|sweden
Sandy|f|sweden
Sanja |f|sweden
Sanna|f|sweden
Sanne|f|sweden
Sara|f|sweden
Sarah|f|sweden
Sasha |f|sweden
Savannah|f|sweden
Selin|f|sweden
Selina|f|sweden
Selma|f|sweden
Serafia|f|sweden
Shams|f|sweden
Shirin|f|sweden
Sibel|f|sweden
Sibylla|f|sweden
Sidra |f|sweden
Sienna |f|sweden
Sigbritt|f|sweden
Signe|f|sweden
Signhild|f|sweden
Sigrid|f|sweden
Siham |f|sweden
Silje|f|sweden
Silvia|f|sweden
Simona|f|sweden
Simone|f|sweden
Siri|f|sweden
Siv|f|sweden
Siv |f|sweden
Smilla|f|sweden
Sofi|f|sweden
Sofia|f|sweden
Sofie|f|sweden
Sol|f|sweden
Solbritt|f|sweden
Solveig|f|sweden
Solvig|f|sweden
Sonia|f|sweden
Sonja|f|sweden
Sophia|f|sweden
Sophie|f|sweden
Stella|f|sweden
Stephanie|f|sweden
Stina|f|sweden
Sumaya|f|sweden
Susann|f|sweden
Susanna|f|sweden
Susanne|f|sweden
Suzanne|f|sweden
Svea|f|sweden
Sylvia|f|sweden
Synnöve|f|sweden
Syster|f|sweden
Tamara|f|sweden
Tania |f|sweden
Tanja|f|sweden
Tanya|f|sweden
Tara|f|sweden
Tea|f|sweden
Tekla|f|sweden
Telma|f|sweden
Teodora|f|sweden
Terese|f|sweden
Teresia|f|sweden
Tess|f|sweden
Thea|f|sweden
Thelise |f|sweden
Thelma|f|sweden
Theodora|f|sweden
Therese|f|sweden
Therése|f|sweden
Theresia|f|sweden
Thilda|f|sweden
Thilde|f|sweden
Thindra|f|sweden
Thyra|f|sweden
Tiara|f|sweden
Tiffany|f|sweden
Tilda|f|sweden
Tilde|f|sweden
Tilia |f|sweden
Tilja |f|sweden
Tilly |f|sweden
Tina|f|sweden
Tindra|f|sweden
Tintin|f|sweden
Tone|f|sweden
Tora|f|sweden
Torborg|f|sweden
Tova|f|sweden
Towa|f|sweden
Tove|f|sweden
Towe|f|sweden
Tua|f|sweden
Tuva|f|sweden
Tuwa |f|sweden
Tuva-Li |f|sweden
Tyra|f|sweden
Ulla|f|sweden
Ulla-Britt|f|sweden
Ulla-Britta|f|sweden
Ulrica|f|sweden
Ulrika|f|sweden
Uma|f|sweden
Unni |f|sweden
Ursula|f|sweden
Valborg|f|sweden
Valencia |f|sweden
Valentina|f|sweden
Valeria|f|sweden
Vanesa|f|sweden
Vanessa|f|sweden
Vanja|f|sweden
Vanna|f|sweden
Vega|f|sweden
Vendela|f|sweden
Wendela|f|sweden
Vendla|f|sweden
Vera|f|sweden
Wera|f|sweden
Veronica|f|sweden
Veronika|f|sweden
Whilma|f|sweden
Victoria|f|sweden
Vida |f|sweden
Viktoria|f|sweden
Vilda|f|sweden
Wilda|f|sweden
Vilhelmina|f|sweden
Wilhelmina|f|sweden
